00QUADRAS08-12-2021 22:42:0001
02quadra 1                      Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the 2510.00
02quadra 2                      teste                                                                                               12 5.00
02Arena da Quebrada             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02sdfsdf                        fgdgfsdf                                                                                            2313.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02                                                                                                                                  null   nu
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02teste                         aaaaa                                                                                               22120.00
02teste                         aaaaa                                                                                               2112.00
02teste                         aaaa                                                                                                2121.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
02Arena do Nordeste             Quadras de Futebol e Society                                                                        1012.00
010000000019
